goid,publisher,date,article_type,section,tdm_topic_tags,page,word_count,title,paragrph_text,company_name,is_economic,bert_sentiment,paragraph_avg_positive,paragraph_avg_neutral,paragraph_avg_negative,tf_idf_tags
1368532619,Los Angeles Times,2013-06-18,News,LATExtra; Part AA; Metro Desk,Capital punishment,AA.3,415,Man accused of murder in 2006 death of ex-wife,"['theirs was a messy marriage that ended in divorce. five years later, their rocky relationship rekindled, the orange county couple flew to europe for a romantic cruise.', 'but on the morning of may 26, 2006, lonnie kocontes reported his ex-wife micki kanesaki missing to ship authorities. her body was found a day later in the sea off the italian coast.', '""i wish i knew what happened,"" kocontes told a reporter at the time. he added that his ex-wife could be an angry drunk and had talked about harming herself. ""i can\'t rule suicide out,"" he said.', 'on monday, kocontes, 55, was arraigned in orange county superior court, charged with murder for financial gain. prosecutors allege that kocontes strangled kanesaki, who was 52 when she died, and tossed her overboard in a scheme that netted him more than $1 million.', 'italian authorities investigated the case at the time and found no reason to hold kocontes. he said the two had been in bed aboard the ship when kanesaki left around 1 a.m. to get a cup of tea. he said he took a sleeping pill and discovered her missing when he awoke.', ""in 2008, the fbi began investigating various money transfers between banks made by kocontes, who was the beneficiary of several of kanesaki's bank accounts."", ""he also profited from the sale of the couple's home, authorities said. the u.s. attorney's office eventually brought the case to the attention of the orange county district attorney."", ""orange county sheriff's investigators found additional evidence related to kanesaki's death. kocontes was arrested in february in florida and was extradited to california for trial."", 'the fact that a crime committed half a world away is being tried in a u.s. court ""isn\'t a common thing,"" said senior deputy dist. atty. susan price.', '""the crime commenced in california and culminated"" on the ship, price said. ""researching the cruise in california, buying the ticket in california, having them sent to you in california ... driving to the airport. those represent intent and are preparatory acts"" that give prosecutors jurisdiction in the case.', 'when she died, kanesaki was facing a battery charge for allegedly kicking kocontes in the leg a month before their cruise. she voluntarily enrolled in an anger management class and was attending alcoholics anonymous meetings.', 'if convicted of her murder, kocontes faces a minimum life sentence without possibility of parole. he also could face the death penalty.']",,1,-0.6485521147648493,0.1847812054159779,0.0,0.8152187808106343,"['kocontes', 'kanesaki', 'orange', 'cruise', 'california', 'ship', 'ex', 'murder', 'county', 'authorities', 'micki', 'death', 'wife', 'italian', 'prosecutors']"
1643930801,Los Angeles Times,2015-01-10,News,California; Part AA; Metro Desk,Furniture industry,AA.7,144,CALIFORNIA BRIEFING; SAN DIEGO; Charges filed in smuggling case,"['the owner of a los angeles furniture business was charged friday with smuggling endangered sea creatures from mexico and shipping them to china, where they are delicacies.', 'kam wing chan, 61, of monterey park, is charged with eight felony counts of smuggling abalone, sea cucumber and totoaba fish from mexico to san diego.', ""charges have also been filed against chan's business, kaven co., which imports furniture from china."", ""the company was used as a front for bringing the sea creatures, worth more than $3 million, into the u.s. and then shipping them to china to companies owned by chan's relatives, according to federal prosecutors."", 'a dried totoaba swim bladder, used for soup, can be sold for $1,400 to $4,000 in mexico, and for up to $40,000 in asia, prosecutors said.', '-- tony perry']",,1,-0.6474861800670624,0.1858471787224213,0.0,0.8141528274863958,"['totoaba', 'smuggling', 'chan', 'kaven', 'sea', 'mexico', 'china', 'creatures', 'shipping', 'furniture', 'abalone', 'diego', 'prosecutors', 'kam', 'delicacies']"
1778923103,Los Angeles Times,2016-04-07,News,Main News; Part A; Foreign Desk,Truces & cease fires,A.4,151,WORLD BRIEFING; AZERBAIJAN; Truce with Armenia holds,"['a cease-fire largely held around nagorno-karabakh after an outburst of fighting that raised fear of a new all-out war between azerbaijani and armenian forces. russia sought to allay tension by reaching out to both sides.', ""azerbaijan's defense ministry said its troops have been observing a cease-fire in the region since midday tuesday after three days of intense battles involving heavy artillery and rockets. the ministry accused armenian forces of breaking the truce on several occasions wednesday by firing mortars, adding that azerbaijani forces had not returned fire."", 'the ministry late wednesday also claimed armenian forces had shelled the azerbaijani exclave of nakhchivan after the cease-fire. nakhchivan is surrounded by armenia, iran and turkey.', 'fighting that erupted over the weekend killed at least 63 people and marked the worst violence since a separatist war ended in 1994.']",,1,-0.4938391149044037,0.2561608480027644,0.0,0.7438391633331776,"['azerbaijani', 'nakhchivan', 'armenian', 'cease', 'armenia', 'azerbaijan', 'forces', 'ministry', 'truce', 'exclave', 'nagorno', 'karabakh', 'fighting', 'mortars', 'allay']"
1825336436,Los Angeles Times,2016-10-04,News,Main News; Part A; Metro Desk,Rape,A.1,1432,Should a rape accuser remain anonymous?; The civil case against NBA's Derrick Rose poses a legal dilemma.,"['her lawsuit alleging she was raped by nba star derrick rose has made national headlines.', 'the new york knicks point guard has been dogged by questions about her claim during preseason appearances. and she recently gave a lengthy interview with reporters during a conference call about the case.', 'but since she filed suit against rose a year ago, the woman identified in court filings only as ""jane doe"" has remained anonymous.', 'that secrecy is about to end.', 'a federal judge has ruled that once the case goes to trial, the 30-year-old will have to be named. barring a last-minute settlement, jury selection will begin tuesday.', 'the case is the latest to raise a persistent legal and ethical dilemma: should the accuser in a rape case have the right to remain anonymous in court?', ""the woman at the center of the lawsuit argued that her identity should be kept secret because she fears rose's fans would harass and possibly harm her and her family if her name became known."", 'rose and the other men have not been criminally charged, although los angeles police say they continue to investigate the case after the woman filed a complaint last year -- two years after the alleged 2013 rape.', 'u.s. district judge michael w. fitzgerald ruled that the plaintiff could remain anonymous during pretrial proceedings, but not during the trial itself. in so doing, he sought a middle ground between conflicting legal principles.', '""the public does, of course, have some interest in [her] true identity, especially in light of the publicity surrounding this action,"" fitzgerald wrote. ""the public has an equally strong interest, however, in encouraging victims of sexual assault to bring claims against their assailants.""', 'judges have often allowed people who brought civil cases involving rape allegations or other highly sensitive matters to keep their identities cloaked at trial. perhaps the most notable is the landmark abortion rights case roe vs. wade, in which the plaintiff was known as jane roe. and in a case frequently cited by judges and lawyers, the federal appeals court in california allowed a group of immigrant garment workers to sue their employer anonymously because of deportation concerns.', 'but usually, federal judges insist that the parties in a lawsuit be identified at trial, experts said. attempts to shield information presented in court from public view must be weighed against the longstanding principle that shining a light on the workings of the judiciary guards against injustice, incompetence or fraud.', '""for the most part, judges have been reluctant to allow pseudonyms, because they\'re afraid of violating this very fundamental tenet of judicial openness,"" said jayne ressler, a professor at brooklyn law school who has studied the question of anonymity in courts.', 'ressler said many states, including california, readily grant anonymity to rape victims in criminal proceedings, but those protections do not necessarily carry over into civil trials.', 'in a similar case, a 27-year-old woman also using the pseudonym jane doe filed a lawsuit two years ago in washington, d.c., accusing cincinnati reds pitcher alfredo simon cabrera of rape. a federal court judge ruled that she could remain anonymous only until the trial. the case was dismissed at her request late last year.', ""the tendency of civil court judges to favor openness when it comes to rape claims frustrates ressler and others, such as meg garvin, executive director of the national crime victim law institute. allowing a woman to go through trial as a jane doe does little to reduce a court's transparency, they said, whereas exposing her identity harms her and discourages future victims of sexual assault from coming forward."", '""the name doesn\'t matter. what\'s important is what happened. did the man rape this woman?"" ressler said.', 'the speed with which information now spreads through social media raises the stakes. while most mainstream media outlets generally do not name accusers in rape cases, people posting to online platforms are not bound by such rules.', ""the case involving rose, who was for many years a marquee player with the chicago bulls until a recent trade to new york, has provided a particularly stark example of the conflict between privacy and openness. despite a career beset by injuries, rose, the youngest player ever to win the nba's most valuable player award, has built a huge fan base, as evidenced by his 2.45 million twitter followers."", 'rose and two friends, randall hampton and ryan allen, are accused in the lawsuit of sexually assaulting the woman in the early morning hours one day in august 2013. rose and the woman had been in a relationship for a few years, and on the night in question, the woman has recounted, she went to a party with rose, who was living temporarily in los angeles.', 'the woman alleges that afterward, while drinking at rose\'s house, the men secretly drugged her. hours later, after she had departed, the men drove to the woman\'s apartment. the woman alleges the men sexually assaulted her while she was in an ""incapacitated state of consciousness.""', 'rose and the others acknowledge they had sex with the woman, but say it was consensual.', ""the woman sued in los angeles county superior court. rose's lawyers successfully petitioned to move the case to federal district court, saying rose was not a resident of california."", ""the months of legal wrangling in the lead-up to trial have often been ugly. rose's attorney, mark baute, has taken a pugnacious approach, saying the woman's demand for $21 million shows she is trying to shake down rose."", '""this is not a rape case. it\'s pure and simple extortion by a plaintiff who wants to hide behind the cloak of anonymity while seeking millions in damages from a celebrity,"" baute wrote in one of many filings.', ""baute forced the issue of the woman's anonymity, arguing in june that the case should be dismissed or the woman be forced to identify herself because rose had been badly disadvantaged by her hidden identity. baute said she had given up her claim to anonymity because she had posted provocative photos of herself using her name online."", ""baute declined to comment on the issue of the woman's anonymity."", 'her attorney, brandon anand, did not respond to requests for comment.', 'fitzgerald rejected baute\'s arguments, finding that rose\'s fame heightened the likelihood that identifying the woman ""could subject her to significant harassment and humiliation from the public."" and the judge admonished baute for citing the woman\'s online photos in his argument, saying they made her no less deserving of protection.', '""defendant rose,"" the judge wrote, ""appears to suggest that women who publicly portray themselves as \'sexual\' are less likely to experience embarrassment, humiliation and harassment associated with gang rape. such rhetoric has no place in this court.""', 'in his ruling, fitzgerald cited the 2003 sex assault case against los angeles lakers star kobe bryant, who was accused by a 19-year-old colorado hotel worker of raping her while she was at work at a mountain resort.', 'despite efforts by the judge in those criminal proceedings to conceal her identity, the woman endured harassment and threats when her name was leaked and spread widely.', 'in his ruling last month, however, fitzgerald wrote that ""as trial approaches, the public\'s interest in disclosure also increases."" it is well-established, he explained, that open courtrooms are an important element of journalists\' and the general public\'s constitutional right to free speech. keeping the woman\'s name secret, he said, would risk impinging on those rights.', 'the judge added a second reason for his ruling. if jurors heard the woman referred to as jane doe, they might infer she was being protected because of harm caused by the defendants.', ""the woman's attorney made a last-ditch effort last week to get the judge to reconsider, filing a letter from a los angeles police detective who said she was actively investigating the rape allegation for possible criminal charges and would like the woman's identity to remain secret while the inquiry continued."", 'in the same filing, on which fitzgerald has not ruled, the attorney also submitted screen grabs from social media sites on which people discussed the case and named the woman, denigrating her decision to sue rose. one post dismissed her as a ""gold digger.""', ""the harassment, the woman's lawyer argued, would probably worsen if the woman's identity was made public in court."", 'caption: photo: in the lawsuit, derrick rose and two other men are accused of sexual assault in l.a. in 2013.; photographer:michael reaves getty images']",National Basketball Association,1,-0.5483593485857311,0.2147985259829223,0.0,0.785201470706134,"['woman', 'baute', 'rose', 'rape', 'case', 'ressler', 'fitzgerald', 'court', 'identity', 'trial', 'anonymity', 'judge', 'doe', 'lawsuit', 'anonymous']"
2098943050,Los Angeles Times,2018-09-04,News,California; Part B; Metro Desk,Automobiles,B.4,182,"112 pounds of meth seized; The drugs, valued at more than $369,000, are found hidden in a truck at San Ysidro border crossing.","['u.s. customs and border protection officers have reported seizing 112 pounds of methamphetamine valued at more than $369,000 hidden in a pickup truck at the san ysidro port of entry.', ""the agency's san diego director of field operations, pete flores, said in a statement that the drugs were detected by a canine team, which he credited as a vital tool in helping secure the border."", 'about 6:40 a.m. wednesday, authorities said, customs and border protection officers at the san ysidro border crossing encountered a 24-year-old u.s. citizen driving a nissan frontier.', ""as the man waited to enter the u.s., a canine team that had been screening vehicles in line detected something in the pickup's undercarriage, according to the news release."", ""officers detained the truck for further inspection, and the port's imaging system detected anomalies in the vehicle, the release said. authorities reported finding 68 packages of methamphetamine hidden below a false bed."", 'the driver was arrested and turned over to homeland security investigations agents for further processing, and the vehicle was seized.']",Customs & Border Protection-US,1,-0.9796457787354788,0.0203542322851717,0.0,0.9796457489331564,"['ysidro', 'border', 'detected', 'hidden', 'methamphetamine', '369', 'canine', 'truck', 'san', 'officers', '112', 'customs', 'valued', 'pickup', 'crossing']"
2869108043,Los Angeles Times,2023-09-27,News,California; Part B; Sports Desk,Scandals,B.9,187,SPORTS; ON THIS DATE,"['1950 - ezzard charles wins a unanimous 15-round decision over joe louis at yankee stadium in new york to retain the world heavyweight title.', '1973 -- nolan ryan strikes out 16 in 11 innings for a record 383 that season.', '1975 -- kansas quarterback nolan cromwell rushes for an ncaa-record 294 yards in a 20-0 victory over oregon state.', '1987 -- nfl players go on strike.', '1988 -- canadian sprinter ben johnson is disqualified from the seoul olympics 100 meters after his urine sample is found to contain the steroid stanozolol. american carl lewis is awarded the gold medal and the world record of 9.92 seconds.', ""1998 -- mark mcgwire gives baseball a new magic number, hitting two homers to reach 70 in the st. louis cardinals' season finale against montreal. it's mcgwire's fifth homer in the season-ending, three-game series. mcgwire's 70th and final home run of the season is a line shot over the left-field wall on a first-pitch fastball from carl pavano in the seventh inning."", '2000 -- the united states baseball team, managed by tommy lasorda, wins the olympic gold medal in sydney, australia.']",,1,0.4455914497375488,0.7313057346535581,0.0,0.2686942555800279,"['mcgwire', 'nolan', 'ezzard', 'medal', 'season', 'carl', 'stanozolol', 'record', 'pavano', 'wins', 'louis', 'gold', 'lasorda', 'baseball', 'cromwell']"
410026901,Washington Post The,2006-02-24,News,WEEKEND,,T.04,66,GET LISTED Weekend lists eve ...,"['weekend lists events as space permits. mail notices  --  with date, time, address, cost, phone number  --  to the appropriate heading (concerts, on stage, etc.), weekend, the washington post, 1150 15th st. nw, washington, d.c. 20071-5650. deadline is 10 days before publication date.', 'editorial content/free listings:', 'paid advertising/display ads:']",,1,-0.9538861711819968,0.0461138139168421,0.0,0.9538861711819968,"['weekend', 'lists', '5650', 'date', '20071', '1150', 'notices', 'listings', 'permits', 'concerts', '15th', 'publication', 'editorial', 'washington', 'eve']"
410138563,Washington Post The,2007-07-26,Commentary,EDITORIAL,Fuel economy standards,A.20,594,Leadership Needed; Higher fuel economy standards may be doomed without Nancy Pelosi's support.,"[""there is a pitched battle underway in the house of representatives over whether to introduce an amendment to increase the corporate average fuel economy (cafe) standard in the energy package due to hit the floor before congress takes off for its august recess. while one camp is eager to follow the senate's aggressive boost in cafe requirements for the first time since 1975, another advocates tapping the brakes.  leadership from speaker nancy pelosi (d-calif.) could help resolve this fight. but she has been loath to exert it publicly."", 'when the senate passed its energy bill in june, it raised cafe standards, which rest around 25 miles per gallon today, to an average of 35 mpg for all cars, light trucks and sport-utility vehicles by 2020. yet an initial attempt to address fuel economy in the house was scuttled by powerful energy committee chairman john d. dingell (d-mich.). he wants to address the issue in the climate change legislation he plans to introduce this fall. environmental advocates rightly worry that such a punt means a boost in cafe standards won\'t happen. but one must. the transportation sector accounts for a third of u.s. carbon dioxide emissions, a major contributor to global warming. even the national petroleum council,  charged by president bush to study the nation\'s energy sector, urged in a report released last week that the fuel economy of cars and light trucks be improved ""at the maximum rate possible.""', ""the bill from rep. edward j. markey (d-mass.) has 150 sponsors and would go a long way toward achieving that.  it would require a boost in cafe standards for both cars and light trucks to an average of 35 mpg by 2018. but a rival bill from rep. baron p. hill (d-ind.) and rep. lee terry (r-neb.) that has 103 sponsors, including mr. dingell, would proceed more slowly by creating separate standards for cars and trucks and allowing the government to set a standard for cars of not less than an average of 32 miles per gallon but not more than 35 miles per gallon by 2022. in addition, the bill attempts to undermine california's tough new air pollution laws by getting the transportation department, which deals with fuel economy, into the business of regulating carbon emissions, which the supreme court ruled in the spring is within the purview of the environmental protection agency. an all-republican bill from rep. joe l. barton (r-tex.) and more than two dozen other sponsors seeks to slow things down even further by proposing a fuel efficiency average of 35 mpg for cars and 27.5 mpg for light trucks by 2022."", ""ms. pelosi is already on record supporting higher cafe standards for cars and light trucks. considering that mr. markey is a close ally of ms. pelosi, it is not difficult to imagine her backing his  bill. but she has yet to commit to allowing it  --  or any other cafe legislation  --  to be offered as an amendment when the energy bill comes to the floor. it is vitally important that the house pass its own cafe legislation. to hope and pray that the senate version survives the conference process, during which mr. dingell will assuredly have a role, is a bad strategy. so is putting off action until mr. dingell's climate change legislation is introduced.  the momentum is there for strong cafe standards. a public nod from ms. pelosi could be all mr. markey needs to get his amendment the support it requires to pass.""]",House of Representatives,1,-0.4947251677513122,0.2550857074093073,0.0,0.744914279319346,"['cafe', 'dingell', 'mpg', 'trucks', 'pelosi', 'standards', 'cars', 'fuel', 'markey', 'energy', 'economy', 'light', 'rep', 'gallon', 'average']"
410159212,Washington Post The,2007-08-30,News,3,,T.3,334,They're Building Craftsmen at New Masonry Institute Center,"[""intern architects and apprentice masons from 20 states got hands-on experience this month during two week-long camps at the international masonry institute's new $30 million national training center in bowie."", 'the camps, which took place  aug. 11-17 and aug. 18-24, offered a preview of the center, scheduled to open officially sept. 21. financed by the international union of bricklayers and allied craftworkers, the training center is located on a 24-acre campus on science drive off route 3.', 'the main training area includes classrooms, design studios and offices spread over 60,500 square feet. a separate 45,500-square-feet conference center provides recreation facilities and houses up to 108 students.', '""we have made a significant commitment to invest in the future of the industry,"" john j. flynn, co-chairman of the international masonry institute and union president, said in a news release. ""instead of talking about a workforce crisis, we are taking action.""', 'the summer program, aimed at promoting collaboration between designers and builders, was the first major training  at the new center. the two sessions drew 84 participants, who were exposed to a variety of masonry crafts, including brick, stone, plaster, tile, restoration and terrazzo. as part of a team-building exercise, the young architects and masons participated in designing a community school and building elements of it.', 'the international masonry institute provides training for all levels of craft workers in masonry, as well as programs for building designers and contractors. the training is free to union members.', 'with the new campus, the institute will be able to expand its program offerings and provide a ""living classroom"" to field-test new products, officials said. the campus also will be the new home of the summer camp.', 'as part of events celebrating the official opening, the institute on sept. 21 will host the international apprentice contest, which is expected to draw 100 apprentices in the various trades to the bowie campus for a competition that will include written and building exercises.']",,1,0.9739636108279228,0.973963625729084,0.0,0.0260363736742874,"['masonry', 'institute', 'training', 'campus', 'masons', 'building', 'international', 'center', 'apprentice', 'craftworkers', 'bowie', 'architects', 'designers', 'union', 'camps']"
410172286,Washington Post The,2007-12-05,News,METRO,Shootings,B.2,270,Stray Bullet Strikes A Man in His Home,"['in some parts of washington, shots are heard on the streets, but people still feel safe in their homes. last night, however, a shot fired on a northeast washington street crashed into a house and hit a man inside, police said.', 'according to cmdr. robert contee of the 6th police district, the shot smashed through a second-floor window in the 5300 block of clay terrace. contee called the man inside an ""unintended victim.""', 'the man, whose name was not released, was struck in the back and taken to a hospital. police said he remained conscious, and they said they thought he would survive.', 'shortly after the 7 p.m. incident, police said they found an automobile at 46th and lee streets ne that appeared to fit descriptions given by witnesses. they said they found two guns inside, and they took a man in his 20s into custody.', 'two neighbors said they heard several shots but did not know what happened.', '""i stay in my apartment and mind my business,"" said one.', 'since 1999, five people have been found fatally shot on clay terrace, a one-block street near the eastern corner of the city.', 'the shooting yesterday came at a time when the number of assaults involving firearms has increased over the previous year, according to recently released police statistics.', 'several people have been hit by what were believed to be stray bullets fired in the streets. in 2004, an 8-year-old girl was killed indoors by a bullet fired on a northeast street.']",,1,-0.7395676043298509,0.1493212737065429,0.0,0.8506787284794781,"['contee', 'police', 'man', 'stray', 'fired', 'streets', 'terrace', 'clay', 'bullet', 'northeast', 'inside', 'shot', 'said', 'street', 'shots']"
