goid,publisher,date,article_type,section,tdm_topic_tags,page,word_count,title,paragrph_text,company_name,is_economic,bert_sentiment,paragraph_avg_positive,paragraph_avg_neutral,paragraph_avg_negative,tf_idf_tags,tf_idf,roberta_title_negative,roberta_title_neutral,roberta_title_positive
1368532619,Los Angeles Times,2013-06-18,News,LATExtra; Part AA; Metro Desk,Capital punishment,AA.3,415,Man accused of murder in 2006 death of ex-wife,"['theirs was a messy marriage that ended in divorce. five years later, their rocky relationship rekindled, the orange county couple flew to europe for a romantic cruise.', 'but on the morning of may 26, 2006, lonnie kocontes reported his ex-wife micki kanesaki missing to ship authorities. her body was found a day later in the sea off the italian coast.', '""i wish i knew what happened,"" kocontes told a reporter at the time. he added that his ex-wife could be an angry drunk and had talked about harming herself. ""i can\'t rule suicide out,"" he said.', 'on monday, kocontes, 55, was arraigned in orange county superior court, charged with murder for financial gain. prosecutors allege that kocontes strangled kanesaki, who was 52 when she died, and tossed her overboard in a scheme that netted him more than $1 million.', 'italian authorities investigated the case at the time and found no reason to hold kocontes. he said the two had been in bed aboard the ship when kanesaki left around 1 a.m. to get a cup of tea. he said he took a sleeping pill and discovered her missing when he awoke.', ""in 2008, the fbi began investigating various money transfers between banks made by kocontes, who was the beneficiary of several of kanesaki's bank accounts."", ""he also profited from the sale of the couple's home, authorities said. the u.s. attorney's office eventually brought the case to the attention of the orange county district attorney."", ""orange county sheriff's investigators found additional evidence related to kanesaki's death. kocontes was arrested in february in florida and was extradited to california for trial."", 'the fact that a crime committed half a world away is being tried in a u.s. court ""isn\'t a common thing,"" said senior deputy dist. atty. susan price.', '""the crime commenced in california and culminated"" on the ship, price said. ""researching the cruise in california, buying the ticket in california, having them sent to you in california ... driving to the airport. those represent intent and are preparatory acts"" that give prosecutors jurisdiction in the case.', 'when she died, kanesaki was facing a battery charge for allegedly kicking kocontes in the leg a month before their cruise. she voluntarily enrolled in an anger management class and was attending alcoholics anonymous meetings.', 'if convicted of her murder, kocontes faces a minimum life sentence without possibility of parole. he also could face the death penalty.']",,1,-0.6485521147648493,0.1847812054159779,0.0,0.8152187808106343,"['kocontes', 'kanesaki', 'orange', 'cruise', 'california', 'ship', 'ex', 'murder', 'county', 'authorities', 'micki', 'death', 'wife', 'italian', 'prosecutors']",,,,
1643930801,Los Angeles Times,2015-01-10,News,California; Part AA; Metro Desk,Furniture industry,AA.7,144,CALIFORNIA BRIEFING; SAN DIEGO; Charges filed in smuggling case,"['the owner of a los angeles furniture business was charged friday with smuggling endangered sea creatures from mexico and shipping them to china, where they are delicacies.', 'kam wing chan, 61, of monterey park, is charged with eight felony counts of smuggling abalone, sea cucumber and totoaba fish from mexico to san diego.', ""charges have also been filed against chan's business, kaven co., which imports furniture from china."", ""the company was used as a front for bringing the sea creatures, worth more than $3 million, into the u.s. and then shipping them to china to companies owned by chan's relatives, according to federal prosecutors."", 'a dried totoaba swim bladder, used for soup, can be sold for $1,400 to $4,000 in mexico, and for up to $40,000 in asia, prosecutors said.', '-- tony perry']",,1,-0.6474861800670624,0.1858471787224213,0.0,0.8141528274863958,"['totoaba', 'smuggling', 'chan', 'kaven', 'sea', 'mexico', 'china', 'creatures', 'shipping', 'furniture', 'abalone', 'diego', 'prosecutors', 'kam', 'delicacies']",,,,
1778923103,Los Angeles Times,2016-04-07,News,Main News; Part A; Foreign Desk,Truces & cease fires,A.4,151,WORLD BRIEFING; AZERBAIJAN; Truce with Armenia holds,"['a cease-fire largely held around nagorno-karabakh after an outburst of fighting that raised fear of a new all-out war between azerbaijani and armenian forces. russia sought to allay tension by reaching out to both sides.', ""azerbaijan's defense ministry said its troops have been observing a cease-fire in the region since midday tuesday after three days of intense battles involving heavy artillery and rockets. the ministry accused armenian forces of breaking the truce on several occasions wednesday by firing mortars, adding that azerbaijani forces had not returned fire."", 'the ministry late wednesday also claimed armenian forces had shelled the azerbaijani exclave of nakhchivan after the cease-fire. nakhchivan is surrounded by armenia, iran and turkey.', 'fighting that erupted over the weekend killed at least 63 people and marked the worst violence since a separatist war ended in 1994.']",,1,-0.4938391149044037,0.2561608480027644,0.0,0.7438391633331776,"['azerbaijani', 'nakhchivan', 'armenian', 'cease', 'armenia', 'azerbaijan', 'forces', 'ministry', 'truce', 'exclave', 'nagorno', 'karabakh', 'fighting', 'mortars', 'allay']",,,,
1825336436,Los Angeles Times,2016-10-04,News,Main News; Part A; Metro Desk,Rape,A.1,1432,Should a rape accuser remain anonymous?; The civil case against NBA's Derrick Rose poses a legal dilemma.,"['her lawsuit alleging she was raped by nba star derrick rose has made national headlines.', 'the new york knicks point guard has been dogged by questions about her claim during preseason appearances. and she recently gave a lengthy interview with reporters during a conference call about the case.', 'but since she filed suit against rose a year ago, the woman identified in court filings only as ""jane doe"" has remained anonymous.', 'that secrecy is about to end.', 'a federal judge has ruled that once the case goes to trial, the 30-year-old will have to be named. barring a last-minute settlement, jury selection will begin tuesday.', 'the case is the latest to raise a persistent legal and ethical dilemma: should the accuser in a rape case have the right to remain anonymous in court?', ""the woman at the center of the lawsuit argued that her identity should be kept secret because she fears rose's fans would harass and possibly harm her and her family if her name became known."", 'rose and the other men have not been criminally charged, although los angeles police say they continue to investigate the case after the woman filed a complaint last year -- two years after the alleged 2013 rape.', 'u.s. district judge michael w. fitzgerald ruled that the plaintiff could remain anonymous during pretrial proceedings, but not during the trial itself. in so doing, he sought a middle ground between conflicting legal principles.', '""the public does, of course, have some interest in [her] true identity, especially in light of the publicity surrounding this action,"" fitzgerald wrote. ""the public has an equally strong interest, however, in encouraging victims of sexual assault to bring claims against their assailants.""', 'judges have often allowed people who brought civil cases involving rape allegations or other highly sensitive matters to keep their identities cloaked at trial. perhaps the most notable is the landmark abortion rights case roe vs. wade, in which the plaintiff was known as jane roe. and in a case frequently cited by judges and lawyers, the federal appeals court in california allowed a group of immigrant garment workers to sue their employer anonymously because of deportation concerns.', 'but usually, federal judges insist that the parties in a lawsuit be identified at trial, experts said. attempts to shield information presented in court from public view must be weighed against the longstanding principle that shining a light on the workings of the judiciary guards against injustice, incompetence or fraud.', '""for the most part, judges have been reluctant to allow pseudonyms, because they\'re afraid of violating this very fundamental tenet of judicial openness,"" said jayne ressler, a professor at brooklyn law school who has studied the question of anonymity in courts.', 'ressler said many states, including california, readily grant anonymity to rape victims in criminal proceedings, but those protections do not necessarily carry over into civil trials.', 'in a similar case, a 27-year-old woman also using the pseudonym jane doe filed a lawsuit two years ago in washington, d.c., accusing cincinnati reds pitcher alfredo simon cabrera of rape. a federal court judge ruled that she could remain anonymous only until the trial. the case was dismissed at her request late last year.', ""the tendency of civil court judges to favor openness when it comes to rape claims frustrates ressler and others, such as meg garvin, executive director of the national crime victim law institute. allowing a woman to go through trial as a jane doe does little to reduce a court's transparency, they said, whereas exposing her identity harms her and discourages future victims of sexual assault from coming forward."", '""the name doesn\'t matter. what\'s important is what happened. did the man rape this woman?"" ressler said.', 'the speed with which information now spreads through social media raises the stakes. while most mainstream media outlets generally do not name accusers in rape cases, people posting to online platforms are not bound by such rules.', ""the case involving rose, who was for many years a marquee player with the chicago bulls until a recent trade to new york, has provided a particularly stark example of the conflict between privacy and openness. despite a career beset by injuries, rose, the youngest player ever to win the nba's most valuable player award, has built a huge fan base, as evidenced by his 2.45 million twitter followers."", 'rose and two friends, randall hampton and ryan allen, are accused in the lawsuit of sexually assaulting the woman in the early morning hours one day in august 2013. rose and the woman had been in a relationship for a few years, and on the night in question, the woman has recounted, she went to a party with rose, who was living temporarily in los angeles.', 'the woman alleges that afterward, while drinking at rose\'s house, the men secretly drugged her. hours later, after she had departed, the men drove to the woman\'s apartment. the woman alleges the men sexually assaulted her while she was in an ""incapacitated state of consciousness.""', 'rose and the others acknowledge they had sex with the woman, but say it was consensual.', ""the woman sued in los angeles county superior court. rose's lawyers successfully petitioned to move the case to federal district court, saying rose was not a resident of california."", ""the months of legal wrangling in the lead-up to trial have often been ugly. rose's attorney, mark baute, has taken a pugnacious approach, saying the woman's demand for $21 million shows she is trying to shake down rose."", '""this is not a rape case. it\'s pure and simple extortion by a plaintiff who wants to hide behind the cloak of anonymity while seeking millions in damages from a celebrity,"" baute wrote in one of many filings.', ""baute forced the issue of the woman's anonymity, arguing in june that the case should be dismissed or the woman be forced to identify herself because rose had been badly disadvantaged by her hidden identity. baute said she had given up her claim to anonymity because she had posted provocative photos of herself using her name online."", ""baute declined to comment on the issue of the woman's anonymity."", 'her attorney, brandon anand, did not respond to requests for comment.', 'fitzgerald rejected baute\'s arguments, finding that rose\'s fame heightened the likelihood that identifying the woman ""could subject her to significant harassment and humiliation from the public."" and the judge admonished baute for citing the woman\'s online photos in his argument, saying they made her no less deserving of protection.', '""defendant rose,"" the judge wrote, ""appears to suggest that women who publicly portray themselves as \'sexual\' are less likely to experience embarrassment, humiliation and harassment associated with gang rape. such rhetoric has no place in this court.""', 'in his ruling, fitzgerald cited the 2003 sex assault case against los angeles lakers star kobe bryant, who was accused by a 19-year-old colorado hotel worker of raping her while she was at work at a mountain resort.', 'despite efforts by the judge in those criminal proceedings to conceal her identity, the woman endured harassment and threats when her name was leaked and spread widely.', 'in his ruling last month, however, fitzgerald wrote that ""as trial approaches, the public\'s interest in disclosure also increases."" it is well-established, he explained, that open courtrooms are an important element of journalists\' and the general public\'s constitutional right to free speech. keeping the woman\'s name secret, he said, would risk impinging on those rights.', 'the judge added a second reason for his ruling. if jurors heard the woman referred to as jane doe, they might infer she was being protected because of harm caused by the defendants.', ""the woman's attorney made a last-ditch effort last week to get the judge to reconsider, filing a letter from a los angeles police detective who said she was actively investigating the rape allegation for possible criminal charges and would like the woman's identity to remain secret while the inquiry continued."", 'in the same filing, on which fitzgerald has not ruled, the attorney also submitted screen grabs from social media sites on which people discussed the case and named the woman, denigrating her decision to sue rose. one post dismissed her as a ""gold digger.""', ""the harassment, the woman's lawyer argued, would probably worsen if the woman's identity was made public in court."", 'caption: photo: in the lawsuit, derrick rose and two other men are accused of sexual assault in l.a. in 2013.; photographer:michael reaves getty images']",National Basketball Association,1,-0.5483593485857311,0.2147985259829223,0.0,0.785201470706134,"['woman', 'baute', 'rose', 'rape', 'case', 'ressler', 'fitzgerald', 'court', 'identity', 'trial', 'anonymity', 'judge', 'doe', 'lawsuit', 'anonymous']",,,,
2098943050,Los Angeles Times,2018-09-04,News,California; Part B; Metro Desk,Automobiles,B.4,182,"112 pounds of meth seized; The drugs, valued at more than $369,000, are found hidden in a truck at San Ysidro border crossing.","['u.s. customs and border protection officers have reported seizing 112 pounds of methamphetamine valued at more than $369,000 hidden in a pickup truck at the san ysidro port of entry.', ""the agency's san diego director of field operations, pete flores, said in a statement that the drugs were detected by a canine team, which he credited as a vital tool in helping secure the border."", 'about 6:40 a.m. wednesday, authorities said, customs and border protection officers at the san ysidro border crossing encountered a 24-year-old u.s. citizen driving a nissan frontier.', ""as the man waited to enter the u.s., a canine team that had been screening vehicles in line detected something in the pickup's undercarriage, according to the news release."", ""officers detained the truck for further inspection, and the port's imaging system detected anomalies in the vehicle, the release said. authorities reported finding 68 packages of methamphetamine hidden below a false bed."", 'the driver was arrested and turned over to homeland security investigations agents for further processing, and the vehicle was seized.']",Customs & Border Protection-US,1,-0.9796457787354788,0.0203542322851717,0.0,0.9796457489331564,"['ysidro', 'border', 'detected', 'hidden', 'methamphetamine', '369', 'canine', 'truck', 'san', 'officers', '112', 'customs', 'valued', 'pickup', 'crossing']",,,,
2869108043,Los Angeles Times,2023-09-27,News,California; Part B; Sports Desk,Scandals,B.9,187,SPORTS; ON THIS DATE,"['1950 - ezzard charles wins a unanimous 15-round decision over joe louis at yankee stadium in new york to retain the world heavyweight title.', '1973 -- nolan ryan strikes out 16 in 11 innings for a record 383 that season.', '1975 -- kansas quarterback nolan cromwell rushes for an ncaa-record 294 yards in a 20-0 victory over oregon state.', '1987 -- nfl players go on strike.', '1988 -- canadian sprinter ben johnson is disqualified from the seoul olympics 100 meters after his urine sample is found to contain the steroid stanozolol. american carl lewis is awarded the gold medal and the world record of 9.92 seconds.', ""1998 -- mark mcgwire gives baseball a new magic number, hitting two homers to reach 70 in the st. louis cardinals' season finale against montreal. it's mcgwire's fifth homer in the season-ending, three-game series. mcgwire's 70th and final home run of the season is a line shot over the left-field wall on a first-pitch fastball from carl pavano in the seventh inning."", '2000 -- the united states baseball team, managed by tommy lasorda, wins the olympic gold medal in sydney, australia.']",,1,0.4455914497375488,0.7313057346535581,0.0,0.2686942555800279,"['mcgwire', 'nolan', 'ezzard', 'medal', 'season', 'carl', 'stanozolol', 'record', 'pavano', 'wins', 'louis', 'gold', 'lasorda', 'baseball', 'cromwell']",,,,
421898473,Los Angeles Times,2004-05-21,News,Sports; Part D; Sports Desk,,D.12,483,NBA PLAYOFFS LAKERS VS. MINNESOTA SERIAL REPORT / TIMBERWOLF NOTES; A Bigger Role for Big Man,"['michael olowokandi, mostly a disappointment in his first season with the minnesota timberwolves and all but forgotten in the western conference semifinals, could play a more active role against the lakers.', ""with the clippers, the 7-foot, 270-pound center enjoyed some success against shaquille o'neal, and the timberwolves need reinforcements inside."", '""michael\'s going to have to play,"" said coach flip saunders, who buried the backup center deep on his bench after olowokandi committed three turnovers in three minutes in game 4 against the sacramento kings. ""last series was a bad matchup series [for him].', '""this can be a series where it\'s a building block not only for us and for him in the playoffs, but for him as far as next season.""', 'said olowokandi, who averaged 6.5 points and 5.7 rebounds in 43 regular-season games: ""whenever you feel needed, it\'s a good thing. even though i wasn\'t playing in the last series, it was in the back of my mind to prepare myself and get ready and i think i\'m definitely up to the challenge.""', ""because of recurring back spasms, sam cassell wasn't expected to be much more than a decoy in wednesday's game 7 victory over the kings."", 'instead, he scored 23 points, 11 in the first quarter, to help the timberwolves to a big early lead and two on free throws with 16.2 seconds to play, the final points in an 83-80 victory. he played 38 minutes, making 10 of 11 free throws.', '""he showed the type of heart he had,"" saunders said. ""a lot of guys would not have been able to play. they wouldn\'t have been able to play at the level that he did. he just said, \'i\'m going to give everything i have.\' that\'s why i was afraid to take him out. i was afraid once i took him out he might not be able to go back in.""', ""though he's hurting, cassell is not expected to sit out now."", '""we\'ll be able to get him enough rest between games, get him enough treatment that he\'ll be able to keep on playing for us,"" saunders said.', 'kevin mchale, the timberwolves\' general manager, on the lakers\' aura: ""auras don\'t win basketball games. execution, rebounding, blocking out -- all that stuff wins. i\'m not a big believer in the other stuff. good basketball players win games. if you have good basketball players, your team has an aura. i don\'t think this year anyone was talking about the boston celtics\' aura, were they?""', 'said saunders of trenton hassell, who is expected to guard kobe bryant after checking carmelo anthony in the first round and peja stojakovic in the second: ""he\'s been the best defensive player in the playoffs.""']",,1,0.0161383002996444,0.516138361839694,0.0,0.4838616457236639,"['timberwolves', 'olowokandi', 'saunders', 'aura', 'lakers', 'cassell', 'able', 'playoffs', 'play', 'series', 'basketball', 'games', 'timberwolf', 'kings', 'auras']",,,,
421943496,Los Angeles Times,2004-09-04,News,Main News; Part A; National Desk,Conservatism,A.25,917,"THE RACE TO THE WHITE HOUSE; Heinz Kerry Criticized Christian Right in Speech; In a 1994 talk, nominee's wife said the group 'broadcasts its hatred.' Kerry camp stands behind the comments.","['teresa heinz kerry, wife of democratic presidential nominee sen. john f. kerry, issued a broadside against the ""christian right"" in a 1994 speech, saying that it ""broadcasts its hatred"" and appealed ""to the dark corners of the human soul.""', ""since the mid-1990s, conservative christians have grown in importance to the republican party and now form a key base of support for president bush's reelection effort."", 'this week, kerry campaign officials stood by her comments.', '""her comments were a simple plea for the practice of christian values in the public debate, instead of misusing issues of faith to divide americans along partisan political lines,"" said jeff lewis, heinz kerry\'s chief of staff. ""sadly, her warnings turned out to be prophetic.""', 'the speech, given three years after her husband, sen. h.j. heinz iii, died and a year before she married kerry, was made the national council of christians and jews. the group was giving heinz kerry an award for ""building bridges.""', 'the lengthy speech touched on many issues, including the threat of ddt pesticides on lizards in borneo, indonesia. in discussing world events, she observed that ""fearsome shadows"" were lurking in america, threatening to create a ""fractious and mean-spirited place where it is dangerous to be different.""', '""americans have a ... newfound suspicion of those who are not like us,"" heinz kerry said. ""we see it in the political rise of the so-called christian right.', '""rather than preach christ\'s gospel of love and tolerance, this group broadcasts its hatred for homosexuals and liberals and minorities and feminists,"" she added. ""the movement calls itself christian, but its appeal is to dark corners of the human soul -- fear, loathing, the desire for uniformity, the need for conformity.""', ""roberta combs, president of the christian coalition, said thursday that heinz's remarks represented an unusual attack on christian conservatives and that she disagreed with the substance of the comments."", '""she has a right to her opinion ... but there is no reason for anybody to be suspicious about christians,"" combs said. ""i certainly don\'t have a hatred for homosexuals. certainly, there are minorities in our group. i am a woman and don\'t hate anybody ....i don\'t agree with her comments at all.""', 'although democrats have traditionally received little support from conservative christian groups, kerry is not ceding the territory to bush; he has created a ""people of faith outreach program,"" kerry spokesman michael meehan said.', '""we have one of the largest efforts any democrat has made to reach out to people of faith,"" meehan said. ""sen. kerry and teresa are both practicing catholics who regularly attend mass. what we don\'t do is what president bush has done, which is to get church membership lists and get church organizations to conduct the effort.""', ""critics of christian conservatives say heinz kerry's remarks ring true about some elements of the movement; they point, for example, to comments made by jerry falwell, who suggested that gays, abortion- rights supporters and liberal civil rights activists were partly to blame for the sept. 11 attacks."", '""there is an element of the right wing that is motivated by religious extremists who promote intolerance,"" said steven fisher, communications director for human rights campaign, which promotes gay, lesbian and transgender equal rights. ""but there is also strong support in religious communities for tolerance, even where they don\'t support gay marriage. it isn\'t fair to say that jerry falwell represents all the christian religious communities.""', ""john c. green, a political science professor at the university of akron in ohio, said heinz kerry's rhetoric represented a fairly common criticism of the christian right during the 1980s, although it had begun to moderate by the 1990s when the christian movement presented itself with a less strident face."", 'such criticism today is fraught with peril, green noted. ""it takes a deft politician to hit the activists in the christian right and not hit the people who are simply strong in their christian values."" he said that 1994 was a year when the democratic congressional campaign committee criticized the christian right, a decision that partly explained the strong gains republicans made in congressional races that year.', 'alison renteln, a political science professor at usc, said the context of heinz kerry\'s speech about pressures for conformity represent a fair evaluation of american culture. renteln wrote a book, ""cultural defense"" that examined the unwillingness of courts to admit evidence about differing cultural values.', 'at the time heinz kerry attacked the movement, she was a registered republican in pennsylvania and played an influential role in the state party, but she had espoused support for moderate causes in her speeches and her philanthropic agenda.', ""the 1994 speech came during the tough senate race that pitted sen. rick santorum (r-pa.), against then incumbent sen. harris wofford, a democrat who had won sen. heinz's seat in a special election after his death."", 'during the campaign, santorum got into a tiff with heinz kerry, who had considered entering the senate race herself. heinz kerry called santorum ""forrest gump with an attitude"" and said he was ""short of public service and even shorter on accomplishments.""', 'santorum suggested that heinz kerry was being influenced by kerry, and said that her late husband would have supported his campaign. santorum is closely aligned with the christian right. he declined to comment thursday.']",Democratic Party,1,0.3190219061715262,0.6523552561577942,0.0,0.3476447456050664,"['heinz', 'kerry', 'christian', 'santorum', 'comments', 'renteln', 'speech', 'hatred', 'sen', 'right', 'broadcasts', 'christians', 'said', '1994', 'falwell']",,,,
422038591,Los Angeles Times,2006-07-23,News,Sports; Part D; Sports Desk,,D.8,291,AROUND THE MAJORS; Report Says Feds Got Bonds' Files,"[""federal prosecutors obtained barry bonds' medical files as part of their investigation into whether the slugger perjured himself when he said he never knowingly used steroids, the san francisco chronicle reported saturday."", ""two people familiar with the probe told the chronicle that the u.s. attorney's office received the records wednesday in response to a subpoena issued to the san francisco giants, bonds' team. the sources requested anonymity because of the investigation's sensitivity."", 'u.s. atty. kevin ryan said thursday his office still was pursuing an ""ongoing steroid-related investigation"" even though a federal grand jury considering possible perjury and tax-evasion charges against bonds expired that day without an indictment. a new grand jury is expected to be impaneled thursday.', 'ryan said he had postponed his decision on whether to seek an indictment of bonds ""in light of some recent developments."" the receipt of the medical records was one of those developments, sources told the chronicle. the records are believed to include information about three operations bonds had last season to treat his right knee, as well as surgery for an elbow injury in 1999.', ""prosecutors subpoenaed the documents nearly two months ago, but bonds' attorneys went to federal court to stop the government from obtaining the records before prosecutors prevailed."", 'boston put starting pitcher tim wakefield on the 15-day disabled list because of a stress fracture in the area of his rib cage. the move is retroactive to tuesday.... cincinnati put left-hander kent mercker on the 15-day disabled list because of a sore elbow.... san diego acquired right-hander scott williamson from the chicago cubs for two minor league pitchers.']",,1,-0.6792509456475576,0.154082409494246,0.0,0.845917588720719,"['bonds', 'chronicle', 'records', 'prosecutors', 'investigation', 'elbow', 'indictment', 'files', 'hander', 'developments', 'disabled', 'impaneled', 'san', 'perjured', 'mercker']",,,,
422068435,Los Angeles Times,2006-05-16,Commentary,Sports; Part D; Sports Desk,Coaches & managers,D.2,998,The Inside Track; Eric Sondheimer / ON HIGH SCHOOLS; Football Showcase Is Place to See and Be Seen,"[""it's a gorgeous, cloudless morning, and 230 college football coaches have converged on stanford's practice field to observe close to 500 high school players dressed in shorts and gray shirts with numbers painted on their legs and plastered on their backs."", 'pete carroll of usc is shaking hands with hall of fame coach bill walsh and future hall of fame receiver jerry rice. coach charlie weis of notre dame is huddled with five of his assistants. coaches jeff tedford of california, mike riley of oregon state, walt harris of stanford and karl dorrell of ucla are wandering nearby.', '""anybody you want to see, they\'re here,"" tedford said of the mini- coaches convention the day before mother\'s day.', ""the nike-sponsored training camp is football's version of a buffet. coaches are given the rare opportunity to scout hundreds of prospects in a single setting."", ""it's a spectacle watching highly paid and highly visible coaches devote so much scrutiny to teenagers who aren't even wearing shoulder pads."", '""if you think of the process of recruiting, you don\'t get to visualize enough,"" riley said. ""this is a little bit of a zoo because of the numbers, but there\'s a lot of benefits. you get to watch them move, watch them run, see if they\'re really 6-3, 215 pounds.""', ""there are lots of high school coaches who think the combines and training camps are a waste of effort. that's what i thought until saturday."", 'the chance to be seen by so many influential college coaches and to compete against the best is too valuable to bypass.', ""the players are tested in the early sessions while coaches stand in a roped-off area mostly talking with each other. others are paying attention to players running 40-yard sprints, throwing and jumping. pat ruel, usc's offensive line coach, has brought along binoculars so he can get an up-close view of the linemen."", 'later, players take part in position drills, and the coaches are allowed to freely roam the field. the coaches want the players to know they are there. each one is wearing either a hat or shirt with an insignia identifying their school, and the players notice.', 'kenny rowe, a highly recruited defensive end from long beach poly, is moving from drill to drill, but he\'s asked if he sees any particular schools represented. he starts rattling off, ""usc, ucla, mississippi, oregon, washington ... ""', 'some schools have brought as many as six coaches to the event so that each can evaluate players at respective positions.', '""this is great for kids,"" said rice, who gave a pep talk to the players. ""these guys have an opportunity of a lifetime. you get a chance to showcase what you can do.""', ""but scholarships are more likely to be offered based on a performance at a specific college training camp during the summer than this one in may because there are too many players to evaluate and the coaches aren't working with the players individually."", '""all this doesn\'t mean anything unless you can put on the pads,"" linebacker jordan campbell of norco said. ""a guy can run a 4.4 40, but can he take a hit?""', 'there are 12 nike training camps held throughout the country, and there is uncertainty whether coaches will be allowed to attend future camps. an ncaa rule adopted last month will ban coaches from attending combines that are devoted exclusively to testing for agility, speed and strength. what elements must be included in a training camp that would allow college coaches to attend is still be to interpreted, said erik price, an assistant commissioner for the pacific 10 conference.', 'many camp participants already had scholarship offers but wanted to test themselves against other top prospects.', ""chris forcier, a quarterback from san diego st. augustine, has committed to ucla. he said he was interested in trying to convince others that he's one of the best in the nation."", ""most of the coaches already knew before the camp who they wanted to see, and it's a chance for them to confirm their initial impressions or discover something they didn't notice on video."", ""there are risks involved for the athletes, such as letting everyone know they aren't as tall as listed on their high school roster. and those who might have been involved in other sports would have been wise to skip the camp because it's a grueling, competitive event for which you should train."", '""it\'s a necessary thing because you need some kind of standardized test to gauge an athlete,"" said james mitchell, the strength coach at harbor city narbonne, who escorted running back eveian grigsby to the camp. ""it\'s good because once you get ranked, it ups your credibility.""', 'it helps to have consulted with someone who already went through the recruiting process, and that was the luxury for quarterback ben longshore of canyon country canyon. his brother, nate, a quarterback at california, drove 45 minutes from berkeley to support ben and give advice.', '""i\'m the comic relief,"" nate said. ""i keep him relaxed. i think he has one of the best arms out here, and that\'s one of the most important things. i\'m sure he\'ll excite some people. he can hum it. i told him to let it loose and show what his arm is all about. if you can be relaxed in a setting like this, the coaches will know you have a comfort level and confidence in your ability.""', ""in the end, the coaches with their designer sunglasses and state- of-the-art cellphones couldn't have been happier."", 'said san diego state assistant jonathan himebauch: ""i think nike is trying to help lower gas prices by getting everyone in one spot, so we have to get off the freeways.""']",,1,-0.0385088062286377,0.4814911197795299,0.0,0.5185088745784014,"['coaches', 'players', 'camp', 'nike', 'tedford', 'training', 'camps', 'usc', 'ucla', 'quarterback', 'pads', 'coach', 'college', 'said', 'highly']",,,,
