goid,publisher,date,article_type,section,tdm_topic_tags,page,word_count,title,paragrph_text,company_name
422244975,Los Angeles Times,2008-11-02,General Information,Sunday Calendar; Part E; Calendar Desk,,E.2,39,For the record,"""mad men"" actress: a caption under photographs last sunday of ""mad men"" actors jon hamm and elisabeth moss incorrectly gave her last name as olson, her character's last name.",
2869108043,Los Angeles Times,2023-09-27,News,California; Part B; Sports Desk,Scandals,B.9,187,SPORTS; ON THIS DATE,"1950 - ezzard charles wins a unanimous 15-round decision over joe louis at yankee stadium in new york to retain the world heavyweight title.1973 -- nolan ryan strikes out 16 in 11 innings for a record 383 that season.1975 -- kansas quarterback nolan cromwell rushes for an ncaa-record 294 yards in a 20-0 victory over oregon state.1987 -- nfl players go on strike.1988 -- canadian sprinter ben johnson is disqualified from the seoul olympics 100 meters after his urine sample is found to contain the steroid stanozolol. american carl lewis is awarded the gold medal and the world record of 9.92 seconds.1998 -- mark mcgwire gives baseball a new magic number, hitting two homers to reach 70 in the st. louis cardinals' season finale against montreal. it's mcgwire's fifth homer in the season-ending, three-game series. mcgwire's 70th and final home run of the season is a line shot over the left-field wall on a first-pitch fastball from carl pavano in the seventh inning.2000 -- the united states baseball team, managed by tommy lasorda, wins the olympic gold medal in sydney, australia.",
422038591,Los Angeles Times,2006-07-23,News,Sports; Part D; Sports Desk,,D.8,291,AROUND THE MAJORS; Report Says Feds Got Bonds' Files,"federal prosecutors obtained barry bonds' medical files as part of their investigation into whether the slugger perjured himself when he said he never knowingly used steroids, the san francisco chronicle reported saturday.two people familiar with the probe told the chronicle that the u.s. attorney's office received the records wednesday in response to a subpoena issued to the san francisco giants, bonds' team. the sources requested anonymity because of the investigation's sensitivity.u.s. atty. kevin ryan said thursday his office still was pursuing an ""ongoing steroid-related investigation"" even though a federal grand jury considering possible perjury and tax-evasion charges against bonds expired that day without an indictment. a new grand jury is expected to be impaneled thursday.ryan said he had postponed his decision on whether to seek an indictment of bonds ""in light of some recent developments."" the receipt of the medical records was one of those developments, sources told the chronicle. the records are believed to include information about three operations bonds had last season to treat his right knee, as well as surgery for an elbow injury in 1999.prosecutors subpoenaed the documents nearly two months ago, but bonds' attorneys went to federal court to stop the government from obtaining the records before prosecutors prevailed.boston put starting pitcher tim wakefield on the 15-day disabled list because of a stress fracture in the area of his rib cage. the move is retroactive to tuesday.... cincinnati put left-hander kent mercker on the 15-day disabled list because of a sore elbow.... san diego acquired right-hander scott williamson from the chicago cubs for two minor league pitchers.",
2098943050,Los Angeles Times,2018-09-04,News,California; Part B; Metro Desk,Automobiles,B.4,182,"112 pounds of meth seized; The drugs, valued at more than $369,000, are found hidden in a truck at San Ysidro border crossing.","u.s. customs and border protection officers have reported seizing 112 pounds of methamphetamine valued at more than $369,000 hidden in a pickup truck at the san ysidro port of entry.the agency's san diego director of field operations, pete flores, said in a statement that the drugs were detected by a canine team, which he credited as a vital tool in helping secure the border.about 6:40 a.m. wednesday, authorities said, customs and border protection officers at the san ysidro border crossing encountered a 24-year-old u.s. citizen driving a nissan frontier.as the man waited to enter the u.s., a canine team that had been screening vehicles in line detected something in the pickup's undercarriage, according to the news release.officers detained the truck for further inspection, and the port's imaging system detected anomalies in the vehicle, the release said. authorities reported finding 68 packages of methamphetamine hidden below a false bed.the driver was arrested and turned over to homeland security investigations agents for further processing, and the vehicle was seized.",Customs & Border Protection-US
434085489,New York Times,2009-05-05,Review,C,Classical music,C.6,472,"Resilience of the Human Spirit, in Song","the mezzo-soprano anne sofie von otter has a knack for creating coherently themed programs, especially on her cds. bengt forsberg, a pianist and ms. von otter's regular accompanist, likes to champion lesser-known, underperformed composers. the violinist daniel hope takes pains to connect the music he plays to broader social and cultural issues. all three inclinations were fruitfully combined in ""terezin-theresienstadt,"" the fascinating, deeply moving program these artists presented with daniel muller-schott, a cellist, at zankel hall on saturday night.the music, much of it included on a cd of the same title issued by deutsche grammophon last year, was primarily written by composers interned at theresienstadt, a concentration camp near prague. despite perilous circumstances and constant degradation, art flourished in the camp, a fact the nazis eventually used for propaganda.at either end of the program was a plaintive song by ilse weber, a gifted poet and author who became a nurse at the camp, before she was sent to her death at auschwitz. ""ich wandre durch theresienstadt,"" which opened the concert, spoke to a desperate longing for freedom and home. ""wiegala,"" the tender lullaby that ended the program, was a haunting paean to nocturnal silence.what came between spoke to the resilience of the human spirit, even as it endures the unthinkable. there was a mordant humor in karel svenk's ""vsechno jde"" (""anything goes,"" also known as the ""terezin march"") and in an anonymous recasting of a selection from kalman's operetta ""grafin mariza.""viktor ullmann's ""beryozkele"" (""birch tree""), sung in yiddish, and zikmund schul's ""two chassidic dances,"" for violin (originally viola) and cello, showed that the nazi depredations had actually intensified a sense of jewish identity among artists and other intellectuals in the camp.still other works by ullmann, pavel haas and karel berman (the sole composer in the program who survived the war) proved that these composers were versed in the latest international styles and trends.bartok's spirit hovered over two works by erwin schulhoff, a czech composer who was never in theresienstadt but died in the nearby wulzburg camp. his duo for violin and cello, from 1925, featured beguiling blends of timbre and a technically dazzling zingaresca movement. the violin sonata no. 2, written two years later, was lean, muscular and energetic.always a lucid, insightful interpreter, ms. von otter found the expressive heart of everything she sang. mr. forsberg, mr. hope and mr. muller-schott were superb collaborators. a running commentary from the performers usefully illuminated the unimaginable circumstances under which this affecting music was created.terezin-theresienstadt: anne sofie von otter, right, and the pianist bengt forsberg at zankel hall on saturday.(photograph by hiroyuki ito for the new york times)",
434115084,New York Times,2009-06-02,News,A,Kidnapping,A.4,369,Dozens of Pakistani Cadets Are Rescued,"dozens of students and teachers from a military college were abducted by the taliban in the mountains of western pakistan on monday, according to people from the same minivan convoy who made it to their destination.the pakistani army said tuesday morning that it had rescued all 80  students and staff members  who were  taken captive.the convoy, of about 30 minivans, was ferrying students and teachers from the razmak cadet college, in north waziristan along the border with south waziristan. the area is a stronghold for several groups of taliban as well as al qaeda. pakistan's government, after a month of battling the taliban in the swat valley, has said it is planning an operation in the area.in anticipation of the military action, the students and teachers had been told by the local governor to leave early for summer vacation, according to an employee in the college who rode in the convoy, but spoke on condition of anonymity for his safety.the convoy was accompanied by a local taliban group for protection, but around 5 p.m., when the convoy reached a checkpoint at a place called khajuri, that group left and armed men with another taliban group approached, the employee said.he said four armed men waved over their minivan and got on board, arguing with the driver.when they began asking men to leave the van, women began to weep, he said, and the gunmen ultimately let the van go.they reached the town of bannu, the destination for the convoy, but only 7 other vehicles had made it, leaving about 20 unaccounted for.the military said tuesday that the other students and staff members were freed not far from bannu, on the border of north and south waziristan.students from the razmak cadet college who were released by the taliban sat in a police van on monday. early tuesday, officials said all 80 captive students and teachers were rescued.(photograph by reuters)",Taliban
1625069727,New York Times,2014-11-15,News,A,Battleships,A.7,627,"Sweden: Intruder Was a Foreign Vessel, Officials Say","swedish officials said friday that a mysterious vessel detected in the waters off stockholm last month was a foreign submarine that had violated its territorial waters.although many in sweden and elsewhere suspected that the submarine was russian, the swedish authorities said they were unable to determine the nationality of the intruder. russia has denied conducting any recent operations in swedish waters.""the swedish armed forces now confirms that a submarine has violated swedish territorial integrity,"" sweden's top military officer, gen. sverker goranson, said in a statement published on the armed forces' website, adding that results from an intelligence analysis conducted in october were unambiguous.""swedish territory has been seriously and unacceptably violated by a foreign power,"" general goranson said, adding, ""the gravity of this is obvious.""sweden's prime minister, stefan lofven, was quoted by the associated press as saying that the intrusion into swedish territorial waters was ""totally unacceptable.""the search for the unknown vessel prompted the biggest mobilization of its kind in sweden since the end of the cold war. helicopters and ships, including minesweepers, scoured the stockholm archipelago for a submarine. the search was called off after a week.the swedish authorities said on friday that the first suspicion that a foreign submarine had infiltrated swedish waters came on oct. 17, after several people reported spotting a suspicious object in the water near the archipelago. at the time, the swedish news media reported that the military had detected a distress call from what was believed to be a russian submarine that was possibly stranded underwater.further fanning the mystery, news reports said sweden had intercepted encrypted messages relayed between swedish waters and around the russian city of kaliningrad, across the baltic sea from sweden. russia emphatically denied any involvement.while the swedish authorities were careful not to name any country on friday, the military nevertheless marshaled several pieces of evidence it said proved that the unknown vessel was a foreign submarine. the military said that a photograph taken by a civilian had shown an object moving at a speed of about one knot, as well as the ""spray that arises when water is pushed out of scuttles at the top of a submarine.""moreover, military sensors confirmed ""echoes"" in swedish waters, and traces of an unspecified object had been found underwater, the statement said. one stockholm resident also reported observing ""an underwater body with distinctive features.""""each of these observations has a high credibility,"" the statement said. ""together with other observations, and a confirmed submarine, they generate a pattern.""against the backdrop of heightened tensions between the west and moscow, particularly over the crisis in ukraine, the search for the vessel -- called ""the hunt for reds in october"" on social media -- captured the imagination of many swedes, while stoking alarm in the region.the episode prompted numerous conspiracy theories in sweden, a neutral country that is not a member of nato and where memories of the cold war are still vivid. some had speculated that the russians were testing a new minisubmarine. others suggested that a russian spy had been sent from moscow, after a mysterious man was spotted wading near an unknown craft. some news reports countered that the mystery man was, in fact, a fisherman.in sweden, the episode brought back memories of another incident in 1981, when sweden discovered that a soviet submarine had run aground off swedish shores at karlskrona in the south of the country. the swedish authorities held the vessel for 10 days, preventing the soviets from rescuing the crew. sweden suspected that nuclear weapons were on board.this is a more complete version of the story than the one that appeared in print.",Associated Press
409883681,Washington Post The,2005-10-08,News,STYLE,,C.07,370,Oprah Winfrey Helps The FBI Get Its Man,"a partnership between the fbi and oprah winfrey's tv talk show to publicize the identities of fugitive child molesters has nabbed its first suspect, the fbi said friday.fbi agents picked up william davis, 33, in fargo, n.d., on a tip from an oprah viewer. davis faces felony charges of molesting three indiana boys last year and failing to register as a sex offender. he was convicted of child molestation in 1992.""the arrest was a direct result of someone viewing tuesday's show where [davis] was featured,"" fbi agent paul mccabe told reuters from minneapolis.""she called her friend, who went to the oprah.com web site and recognized him,"" he said.the fargo forum newspaper quoted the tipster as saying she hoped to buy a house with the reward, which was advertised on the television show as $100,000.the identities of suspected child molesters are provided to the nationally syndicated ""oprah winfrey show"" by the fbi under a new partnership, and this was believed the first time someone featured on the show was apprehended, mccabe said.jean rosenthal of moorhead, minn., recognized davis as ""mark,"" a neighbor of her friend karie miller. she called miller on wednesday, and the 29-year-old fargo deli worker discovered the man's identity thursday morning on the web site.""his picture came up and i started shaking so bad, i couldn't hold my coffee,"" miller told the forum in friday editions.davis, who was on the fbi's most wanted fugitives list, was one of several fugitive sex offenders shown on winfrey's program tuesday. the reward, offered by her production company, applies to fugitives presented on the show and her web site.miller was in shock after learning of her neighbor's background. she had helped care for him since he broke his leg in a car accident a few weeks ago.""i've been cooking for him; i've been doing his laundry,"" she said.in a news release friday, winfrey said, ""this is a great day and we're just getting started.""she will present the reward during a live broadcast of her show on tuesday.",Federal Bureau of Investigation--FBI
422341989,Los Angeles Times,2008-07-12,News,California; Part B; Metro Desk,Television programs,B.3,881,"On L.A.'s Melrose, a new sense of place; The quiet, tree-lined shopping destination is in the midst of an upscale shift that has some feeling left out.","the tree-lined block that juts out of la cienega boulevard just above melrose avenue is a bit of a retail oddity for los angeles: a quiet, quaint address in the middle of the bustling city.and as such, melrose place -- not the fictional location of the television show with the same name but rather the concrete-and-ivy street with nary an apartment building in sight -- has always been a destination for a certain kind of shopper, the kind of person who might employ a decorator, a stylist or both.but what they are seeking has changed dramatically in recent years. melrose place, like so many parts of the city, is in the throes of an upscale shift that has some feeling left out.once a residential street, then a destination for high-end antiques and home-furnishing stores, melrose place has in recent years become a fashion lover's mecca.by most accounts, the transformation began a little more than three years ago, when marc jacobs and marni moved onto the block in quick order. they were followed by other upscale retailers, including carolina herrera, sergio rossi, mulbery and lambertson truex.but as the fashionistas swept in, many of the antique stores that had called the place home began moving elsewhere, some bemoaning the rapidly rising rents and others the loss of the chummy camaraderie they once enjoyed.""i used to know everybody on the street, and people were friendly,"" said rose tarlow, who opened her first antique store on the block in 1976. ""now, i don't even go out the front door. it's very different."" tarlow has decided to move off the block and rent out the two buildings that she owns.""it used to be beautiful,"" ahmad ahmadi, the owner of ariana rugs, said with a sigh. ""it was all antique mom-and-pop stores, high-end interiors from floor coverings to furniture to fabrics. it was really a destination for a lot of international decorators.""ahmadi said he was leaving the area after a decade on the street because his landlord had increased his rent from $4 a square foot per month to $25. ""they are forcing me out,"" ahmadi said. ""the amount of money they are asking -- how can i afford it?""melrose place came of age in the 1960s and '70s, said historian marc wanamaker, when the demand for retail space for high-end antique stores along la cienega overflowed to the street. because it was a little more isolated, melrose place became a cheaper place to buy into, wanamaker said, and the area quickly became a district all its own.antique stores along the street featured furniture and other home furnishings from the 18th and early 19th century, wanamaker said: ""the quality of their works of art was absolutely impeccable. . . . you could go in there and you could trust them. they were not going to rip you off. they would be catering to connoisseurs, not just someone decorating a house. from the '70s, to the '80s and '90s, melrose place would have that reputation.""many of the original antique dealers were gay men or couples who retired and then died, leaving no family members to carry on the business, wanamaker said. after the first fashion stores moved in, other ""owner-operators"" chose to take advantage of surging prices along the street, sell their buildings and move their home-furnishings businesses elsewhere.""it just ended,"" wanamaker said. ""an era ended. that's how you can say that.""michael shabani, whose family has for more than four decades owned the building marc jacobs moved into, said that much of the shift has been deliberate on the part of landlords, who ""identify areas we feel fashion tenants will like. . . . this was just bound to happen.""but some landlords and tenants say that the recent shift has been driven by the buying power of one organization: the nasa group, a collection of silent partners who claim they control 60% of the property on the block, either as owners or long-term leasers. property records show that limited-liability corporations tracing back to nasa own seven buildings on the block.samantha feld, a broker who does leasing, sales and acquisitions for nasa and acts as its spokeswoman, said that the fascination with melrose place began three years ago, when the company purchased a building at 8428 melrose place. ""we felt [it] was really charming,"" she said. ""we had never been to the street before. but it has a unique feeling to it. all of the buildings have so much character.""part of that building is now leased out to bird, a fashion firm that moved from robertson boulevard two years ago for many of the same reasons.caption: photo: empty space: pedestrians walk past a store for lease on melrose place. once a destination for high-end antiques and home-furnishing stores, the street has become a fashion lover's mecca.; photographer:genaro molina los angeles times; photo: customer: tina ghods, who works nearby, waits for her take-out order in front of a restaurant on melrose place. ""it's becoming a trendy area, that's for sure,"" she said.; photographer:genaro molina los angeles times",
2175224680,USA TODAY,2019-02-04,News,LIFE,Asian Americans,D.4,649,Awkwafina not upset about Oscar snub,"park city, utah – for awkwafina, going to sundance was a major example of ""expectations vs. reality.""""i thought it'd be like, 'i'm wearing ski attire, i'm going to see all these movies,'"" says the actress/rapper, whose new films ""the farewell"" and ""paradise hills"" premiered at the mountainside festival. instead, she was red carpet-ready the whole weekend and watched nothing else: ""it was so much fun, though.""the wisecracking queens, new york, native (real name: nora lum) is having her breakthrough moment, with scene-stealing roles in last summer's ""ocean's8"" and ""crazy rich asians."" but her playful yet poignant turn in ""farewell"" could propel her to the a-list.filmmaker lulu wang's bittersweet drama follows a capricious chinese-american woman named billi (awkwafina), who travels back to china for her cousin's wedding.but she quickly finds out the ceremony is really just an excuse for her family to gather and say goodbye to their ailing grandmother (zhao shuzhen), who is blissfully unaware that she only has months to live.""farewell,"" which is subtitled in english, has been picked up by a24 for theatrical distribution later this year. awkwafina, 29,  chats with usa today about the highly personal project.question: ""the farewell"" is a huge departure for you, in that it's a drama and mostly in chinese. were you hesitant about taking this on?awkwafina:there was absolutely no hesitation – i had never read anything like it. it speaks to me very personally, because i have this relationship with my grandmother who raised me when my mom passed. but i think it's also personal for a lot of people. there were so many people coming up to us hours after (the premiere), just holding back tears and saying they had been through very similar things. it means a lot to people, so that's really cool.q: how was your mandarin going into this?awkwafina:not good! it was like struggle city. that was one of the things i was really insecure about, just never speaking it at home. my grandma spoke mostly english to me (growing up). so i moved to china and took classes, and my grandma kind of helped me, too. but we also changed the character so billi doesn't know chinese all that well. (laughs.)q: when it comes to food porn, ""farewell"" certainly gives ""crazy rich asians"" a run for its money. what do you remember about shooting all those family dinner scenes?awkwafina:i mean, when you go to china, the food is nothing like what you see here. they don't do a general tso's over there, so it's just real hometown cuisine. that specific area really specializes in a couple dishes: one is like this pork or beef marinated in cinnamon, which was amazing. i gained like 50 pounds, it was constant eating. but ""crazy rich asians"" had really good food, too. hungry movies!q: what's it going to be like watching this with your grandma? i imagine it could be pretty emotional.awkwafina:i can't wait for her to see it. i just want her to see that i can speak chinese! she (usually) drags my chinese. (laughs.) but i think it's going to be one of the only movies that i'll do that my grandma will understand. for me to show her something that i'm proud of and she gets is very, very special to me.q: many people were disappointed that ""crazy rich asians"" was passed over by the oscars last week. what was your reaction?awkwafina:i don't think there's any really hard feelings from me or the cast. we had an amazing awards run. the fact that we were able to do that and win best picture at the critics' choice awards, that was awesome. so the fact that it was even recognized (there) is enough. i don't think any of us are ""mad"" – that's just how it goes.",
